subject,system_t,user_t,elapsed_t,elapsed_t_debug,cpu_usage
Activiti,8.18,172.77,244.25,4m4s,74.08
solo,0.43,20.34,15.83,15s,131.21
helios,36.74,188.34,104.91,1m44s,214.55
disconf,0.54,18.48,6.97,6s,272.88
disunity,0.8,9.37,3.64,3s,279.40
rest-assured,1.73,75.78,21.32,21s,363.56
ninja,2.4,82.11,26.94,26s,313.70
curator,1.06,14.45,86.32,1m26s,17.97
stream-lib,2.34,113.55,91.86,1m31s,126.16
GCViewer,0.62,23.6,6.86,6s,353.06
failsafe,0.43,24.29,9.53,9s,259.39
error-prone,5.1,111.28,38.4,38s,303.07
java-apns,0.45,16.54,71.96,1m11s,23.61
oryx,2.02,58.46,39.95,39s,151.39
crawler4j,0.2,12.66,3.43,3s,374.93
commafeed,0.61,24.84,15.04,15s,169.22
torodb,0.67,18.64,9.33,9s,206.97
sharding-jdbc,1.53,92.68,43.51,43s,216.52
cucumber-jvm,3.68,190.07,58.32,58s,332.22
YCSB,21.27,267.32,190.56,3m10s,151.44
sonarqube,1.47,41.56,41.78,41s,102.99
feign,1.01,16.5,105.14,1m45s,16.65
JavaVerbalExpressions,0.13,4.82,1.47,1s,336.73
mysql_perf_analyzer,0.34,14.94,3.72,3s,410.75
Gaffer,8.98,301.28,85.18,1m25s,364.24
elastic-job,1.3,32.26,34.86,34s,96.27
javaslang,12.5,538.86,394.81,6m34s,139.65
killbill,4.69,178.28,142.62,2m22s,128.29
undertow,12.23,107.06,152.09,2m32s,78.43
immutables,0.54,23.21,7.47,7s,317.94
EventHub,0.94,14.74,173.04,2m53s,9.06
byte-buddy,1.51,82.54,22.81,22s,368.48
ambrose,0.39,15.05,4.96,4s,311.29
reflections,0.21,7.56,2.07,2s,375.36
jeromq,0.52,18.47,30.81,30s,61.64
HdrHistogram,0.32,19.34,6.31,6s,311.57
jimfs,0.36,11.52,3.87,3s,306.98
Java-Chronicle,3.6,106.37,162.39,2m42s,67.72
spring-boot-admin,2.33,106.14,86.14,1m26s,125.92
jjwt,0.75,38.38,16.08,16s,243.35
sms-backup-plus,0.6,31.68,8.48,8s,380.66
jvm-tools,1.8,48.82,33.24,33s,152.29
pulsar,25.5,223.28,952.52,15m52s,26.12
mustache.java,19.89,677.07,415.88,6m55s,167.59
spring-petclinic,0.48,23.61,6.24,6s,386.06
orbit,1.63,41.96,38.4,38s,113.52
graphhopper,1.0,34.11,15.25,15s,230.23
unirest-java,0.35,10.07,148.28,2m28s,7.03
mahout,107.88,1735.76,1031.68,17m11s,178.70
languagetool,9.11,507.33,233.52,3m53s,221.15
oryx,2.01,60.24,39.65,39s,157.00
OpenTripPlanner,8.26,451.47,155.54,2m35s,295.57
neo4j,135.65,2503.23,6321.46,105m21s,41.74
jetty.project,88.71,498.18,1472.0,24m32s,39.87
hive,117.32,2605.57,3393.04,56m33s,80.25
pinot,93.19,3424.99,4003.88,66m43s,87.87
hazelcast,1844.1,4434.59,4794.54,79m54s,130.96
