"name","compiled","tested","tests","suites","failures","runs","mvn_time_avg","mvn_time_sd","xml_time_avg","xml_time_sd"
"neo4j_neo4j","SUCCESS","?",12858,1324,0,3,0,0,761.547333333331,1.6802298453882
"neo4j_neo4j-ogm","SUCCESS","SUCCESS",1031,137,0,3,182,1,103.088,1.24274253166133
"neophob_PixelController","FAILURE","FAILURE",2,2,0,3,1.954,0.00888819441731553,0.434,0.0062449979983984
"Netflix_Surus","SUCCESS","SUCCESS",10,6,0,3,2.60433333333333,0.0256969518296108,1.361,0.0417612260356423
"networknt_light-4j","SUCCESS","SUCCESS",366,78,0,3,199.666666666667,6.50640709864771,172.035,6.95285071032018
"networknt_light-java","SUCCESS","SUCCESS",341,73,0,3,53.4706666666667,0.49272338419577,78.0783333333334,1.76084108690515
"neuland_jade4j","SUCCESS","SUCCESS",414,30,0,3,3.496,0.0754983443527074,1.37966666666667,0.0755005518743627
"NGDATA_hbase-indexer","SUCCESS","FAILURE",0,0,0,3,1.20066666666667,0.0406242948656754,0,0
"Nilhcem_FakeSMTP","SUCCESS","FAILURE",16,5,1,3,2.58266666666667,0.285500145942753,0.338333333333333,0.199785718541975
"NLPchina_elasticsearch-analysis-ansj","SUCCESS","SUCCESS",0,0,0,3,0.891,0.001,0,0
"NLPchina_nlp-lang","SUCCESS","SUCCESS",30,16,0,3,30.1846666666667,0.164931298828734,28.838,0.201464637095446
"NoCheatPlus_NoCheatPlus","SUCCESS","SUCCESS",55,21,0,3,7.81466666666667,0.0863153134347164,4.32333333333333,0.0856523982929453
"Nodeclipse_nodeclipse-1","SUCCESS","SUCCESS",0,0,0,3,67.6666666666667,0.577350269189626,0,0
"normanmaurer_netty-in-action","SUCCESS","SUCCESS",7,5,0,3,1.605,0.0219317121994612,0.105666666666667,0.0142243921955679
"Nukkit_Nukkit","FAILURE","FAILURE",0,0,0,3,0.263666666666667,0.00152752523165195,0,0
"nurkiewicz_spring-data-jdbc-repository","SUCCESS","SUCCESS",495,34,0,3,8.623,0.0281602556806574,1.67833333333333,0.0511891915674911
"nuxeo_nuxeo","FAILURE","FAILURE",2612,483,25,3,810.666666666667,0.577350269189626,583.779333333333,0.159236721058369
"oci-pronghorn_GreenLightning","FAILURE","FAILURE",0,0,0,3,6.63033333333333,0.0531444572211753,0,0
"ogrisel_pignlproc","FAILURE","FAILURE",0,0,0,3,0.342,0.00399999999999998,0,0
"oldratlee_fucking-java-concurrency","SUCCESS","SUCCESS",0,0,0,3,0.737,0.0167032930884901,0,0
"olivergierke_rest-microservices","SUCCESS","SUCCESS",2,2,0,3,20.7456666666667,0.168185413556983,0.333,0.0204205778566622
"olivergierke_spring-restbucks","SUCCESS","SUCCESS",33,13,0,3,20.8126666666667,0.12548439478012,12.991,0.0291032644217108
"opencollab_jlatexmath","SUCCESS","FAILURE",9,2,1,3,3.278,0.0183575597506857,1.442,0.0173493515728975
"opendaylight_controller","?","?",0,0,0,3,0,0,0,0
"OpenGamma_Strata","SUCCESS","SUCCESS",39,1,0,3,141.333333333333,1.15470053837925,14.6643333333333,0.363607388997162
"OpenGrok_OpenGrok","SUCCESS","FAILURE",0,0,0,3,5.05233333333333,0.0436615773115599,0,0
"OpenHFT_Chronicle-Logger","SUCCESS","SUCCESS",61,24,0,3,19.1163333333333,0.161016562295104,5.00733333333333,0.134422220385372
"OpenHFT_Java-Lang","?","?",0,0,0,3,0,0,0,0
"openmrs_openmrs-core","SUCCESS","FAILURE",3436,255,1,3,120.333333333333,2.3094010767585,98.4820000000001,2.33110510273561
"OpenNetworkingFoundation_DELTA","SUCCESS","SUCCESS",0,0,0,3,4.882,0.0962496753241278,0,0
"openscoring_openscoring","SUCCESS","SUCCESS",4,3,0,3,7.53133333333333,0.0984191715741063,3.57466666666667,0.104639062177245
"OpenSextant_SolrTextTagger","SUCCESS","SUCCESS",34,8,0,3,7.73333333333333,0.101253806512809,1.39566666666667,0.143123489802804
"opentracing_opentracing-java","SUCCESS","SUCCESS",26,9,0,3,4.34433333333333,0.0422532050066419,0.193,0.013228756555323
"orfjackal_idea-sbt-plugin","FAILURE","FAILURE",0,0,0,3,0.235,0.0305122926047847,0,0
"oshi_oshi","SUCCESS","SUCCESS",72,34,0,3,13.0313333333333,0.0856523982929451,7.22033333333333,0.0601193257890784
"ovea-deprecated_jetty-session-redis","SUCCESS","SUCCESS",7,5,0,3,1.617,0.0210713075057055,0.412666666666667,0.0185831464863551
"OvercastNetwork_ProjectAres","SUCCESS","SUCCESS",145,27,0,3,29.9126666666667,0.644642795145755,23.8193333333333,0.534232471245743
"Pablissimo_SonarTsPlugin","SUCCESS","SUCCESS",113,17,0,3,4.943,0.0443959457608461,2.42466666666667,0.0299054064231424
"pac4j_pac4j","SUCCESS","FAILURE",711,99,16,3,100,0,15.0506666666667,0.915925943148975
"Parquet_parquet-format","FAILURE","FAILURE",0,0,0,3,0.506,0.0157162336455017,0,0
"patrickfav_density-converter","SUCCESS","FAILURE",132,9,2,3,421.333333333333,10.2632028788938,419.481,9.95059802222959
"paulc4_microservices-demo","SUCCESS","SUCCESS",12,2,0,3,7.22333333333333,0.0697447728029374,0.056,0.00264575131106459
"paypal_SeLion","SUCCESS","FAILURE",260,2,0,3,37.1343333333333,0.117091132599069,3.233,0.0581291665173345
"PebbleTemplates_pebble","SUCCESS","SUCCESS",441,33,0,3,4.48833333333333,0.0291433239925258,3.087,0.0121655250605961
"pentaho_big-data-plugin","?","?",0,0,0,3,0,0,0,0
"pentaho_pentaho-kettle","?","?",0,0,0,3,0,0,0,0
"pentaho_pentaho-platform","?","?",0,0,0,3,0,0,0,0
"pentaho_pentaho-reporting","?","?",0,0,0,3,0,0,0,0
"perwendel_spark","SUCCESS","SUCCESS",285,40,0,3,31.0723333333333,0.325472477074996,5.638,0.0396106046406764
"PeteGoo_tcSlackBuildNotifier","SUCCESS","SUCCESS",84,14,0,3,3.25533333333333,0.0696156112760159,1.599,0.0646297145282262
"philipsorst_angular-rest-springsecurity","SUCCESS","SUCCESS",0,0,0,3,0.790333333333333,0.0162890556304942,0,0
"philwebb_testing-spring-boot-applications","SUCCESS","SUCCESS",29,11,0,3,12.151,0.0519711458407455,0.976,0.0285131548587665
"phuonglh_vn.vitk","SUCCESS","SUCCESS",0,0,0,3,1.147,0.0805543294925853,0,0
"pinterest-attic_pinlater","SUCCESS","SUCCESS",17,8,0,3,2.25133333333333,0.0282193786843958,0.621,0.03104834939252
"pinterest-attic_terrapin","FAILURE","FAILURE",0,0,0,3,0.767,0.0226495033058123,0,0
"pinterest_secor","SUCCESS","SUCCESS",90,23,0,3,10.3996666666667,0.177071548627478,4.62833333333333,0.0975106831754001
"pires_obd-java-api","SUCCESS","SUCCESS",65,1,0,3,2.24666666666667,0.021733231083604,0.151333333333333,0.00251661147842359
"plantuml_plantuml-server","SUCCESS","SUCCESS",0,0,0,3,1.78,0.0337194306001747,0,0
"playn_playn","SUCCESS","SUCCESS",127,12,0,3,3.717,0.0677569184659397,0.269333333333333,0.00404145188432738
"pmwmedia_tinylog","SUCCESS","FAILURE",32,5,1,3,4.247,0.102805641868528,1.18033333333333,0.0893998508574446
"pranab_sifarish","FAILURE","FAILURE",0,0,0,3,0.492333333333333,0.00251661147842359,0,0
"prestodb_presto","SUCCESS","FAILURE",131,2,0,3,257.333333333333,2.08166599946613,2.15033333333333,0.0515008090551336
"prometheus_jmx_exporter","SUCCESS","SUCCESS",38,3,0,3,3.05833333333333,0.0618896868091392,0.580333333333333,0.0090184995056458
"protegeproject_webprotege","SUCCESS","SUCCESS",1759,227,0,3,6.78933333333333,0.0289885034683293,2.09333333333333,0.00152752523165246
"protostuff_protostuff","SUCCESS","SUCCESS",1400,166,0,3,33.363,0.109119200876839,6.62,0.0913290753265363
"ps3mediaserver_ps3mediaserver","FAILURE","FAILURE",0,0,0,3,0.819666666666667,0.00750555349946509,0,0
"psi-probe_psi-probe","FAILURE","FAILURE",0,0,0,3,8.01366666666667,0.751183288774007,0,0
"qos-ch_logback-extensions","SUCCESS","SUCCESS",3,2,0,3,7.78433333333333,0.02250185177565,6.13333333333333,0.00416333199893231
"querydsl_querydsl","SUCCESS","FAILURE",4943,531,5,3,93.3333333333333,0.577350269189626,50.4133333333333,0.810675232959117
"quux00_hive-json-schema","SUCCESS","SUCCESS",0,0,0,3,0.679333333333333,0.0446579593503032,0,0
"rackerlabs_blueflood","SUCCESS","FAILURE",734,84,2,3,42.414,0.24804636663334,36.6473333333333,0.321531232282862
"rafaelsteil_jforum3","FAILURE","FAILURE",0,0,0,3,0.442666666666667,0.0221434715736565,0,0
"RaiMan_SikuliX-2014","SUCCESS","SUCCESS",0,0,0,3,5.96566666666667,0.0334713808100792,0,0
"rajithd_spring-boot-oauth2","SUCCESS","SUCCESS",1,1,0,3,6.39633333333333,0.116091917605548,0.00366666666666667,0.000577350269189626
"rakam-io_rakam","SUCCESS","FAILURE",0,0,0,3,4.24633333333333,0.105367610456598,0,0
"ralfstx_minimal-json","SUCCESS","SUCCESS",532,16,0,3,4.35933333333333,0.0230289672658879,0.998,0.0310966236109324
"raml-org_raml-java-parser","SUCCESS","SUCCESS",465,18,0,3,10.414,0.194584172018178,7.11266666666667,0.100669426010747
"ramswaroop_jbot","SUCCESS","SUCCESS",1,1,0,3,1.44833333333333,0.0202072594216369,0.000666666666666667,0.000577350269189626
"raphw_byte-buddy","FAILURE","FAILURE",7666,588,0,3,42.315,0.105014284742597,17.5693333333333,0.149004474205737
"rcongiu_Hive-JSON-Serde","SUCCESS","SUCCESS",33,10,0,3,2.98933333333333,0.0538175931581238,0.346,0.0151327459504215
"reachkrishnaraj_kafka-elasticsearch-standalone-consumer","SUCCESS","SUCCESS",0,0,0,3,0.818666666666667,0.0215019378971601,0,0
"recommenders_rival","SUCCESS","SUCCESS",35,11,0,3,30.0846666666667,0.439464826047925,0.163,0.00360555127546398
"Red5_red5-server","SUCCESS","SUCCESS",0,0,0,3,1.36833333333333,0.0130511813003012,0,0
"redpen-cc_redpen","SUCCESS","SUCCESS",723,104,0,3,55.6943333333333,0.0563589685261648,49.0116666666667,0.077655220901977
"reficio_p2-maven-plugin","SUCCESS","SUCCESS",32,7,0,3,9.38066666666667,0.0937781068977906,1.27333333333333,0.00802080627701054
