project_path,test_success,maven_test_time,xml_test_time,overhead_time,is_sequential
/home/lhsm/regression-test-eval/subjects/jbake-org_jbake,true,12,11,1,true
/home/lhsm/regression-test-eval/subjects/spring-projects_spring-amqp-samples,true,4,2,2,true
/home/lhsm/regression-test-eval/subjects/teaey_spring-boot-starter-dubbo,true,1,0,1,true
/home/lhsm/regression-test-eval/subjects/awslabs_amazon-kinesis-connectors,true,3,2,2,true
/home/lhsm/regression-test-eval/subjects/vdurmont_emoji-java,false,0,0,0,false
/home/lhsm/regression-test-eval/subjects/HuaweiBigData_StreamCQL,false,3,2,2,true
/home/lhsm/regression-test-eval/subjects/easymock_objenesis,false,4,1,3,true
/home/lhsm/regression-test-eval/subjects/jsimone_webapp-runner,true,1,0,1,true
/home/lhsm/regression-test-eval/subjects/NLPchina_nlp-lang,true,20,19,1,true
/home/lhsm/regression-test-eval/subjects/RaiMan_SikuliX-2014,true,5,0,5,true
/home/lhsm/regression-test-eval/subjects/coolcooldee_sloth,true,1,0,1,true
/home/lhsm/regression-test-eval/subjects/apache_wicket,true,170,111,59,true
/home/lhsm/regression-test-eval/subjects/gsh199449_spider,true,2,0,2,true
/home/lhsm/regression-test-eval/subjects/tomighty_tomighty,true,6,5,1,true
