project,time
notnoop_java-apns,0
notnoop_java-apns,0.001
notnoop_java-apns,0
notnoop_java-apns,0.001
notnoop_java-apns,0.008
notnoop_java-apns,0.004
notnoop_java-apns,0.002
notnoop_java-apns,0
notnoop_java-apns,0.003
notnoop_java-apns,0
notnoop_java-apns,0.022
notnoop_java-apns,0.001
notnoop_java-apns,0.012
notnoop_java-apns,0.001
notnoop_java-apns,0.001
notnoop_java-apns,0.001
notnoop_java-apns,0.002
notnoop_java-apns,0.001
notnoop_java-apns,0.001
notnoop_java-apns,0.005
notnoop_java-apns,0.001
notnoop_java-apns,0.002
notnoop_java-apns,0.005
notnoop_java-apns,0.001
notnoop_java-apns,0.001
notnoop_java-apns,0
notnoop_java-apns,0.001
notnoop_java-apns,0.002
notnoop_java-apns,0
notnoop_java-apns,0.001
notnoop_java-apns,0
notnoop_java-apns,0.001
notnoop_java-apns,0.002
notnoop_java-apns,0.001
notnoop_java-apns,0.001
notnoop_java-apns,0
notnoop_java-apns,0
notnoop_java-apns,0
notnoop_java-apns,0
notnoop_java-apns,0.002
notnoop_java-apns,0
notnoop_java-apns,0.001
notnoop_java-apns,0
notnoop_java-apns,0
notnoop_java-apns,0
notnoop_java-apns,0.002
notnoop_java-apns,0.001
notnoop_java-apns,0.002
notnoop_java-apns,0
notnoop_java-apns,0.003
notnoop_java-apns,0.002
notnoop_java-apns,0.063
notnoop_java-apns,0.057
notnoop_java-apns,0.057
notnoop_java-apns,5.05
notnoop_java-apns,0.066
notnoop_java-apns,2.032
notnoop_java-apns,0.015
notnoop_java-apns,0.006
notnoop_java-apns,0.004
notnoop_java-apns,0
notnoop_java-apns,0.001
notnoop_java-apns,0.124
notnoop_java-apns,2.116
notnoop_java-apns,0.037
notnoop_java-apns,5.118
notnoop_java-apns,5.779
notnoop_java-apns,5.675
notnoop_java-apns,0.004
radsz_jacop,0.027
radsz_jacop,2.34
radsz_jacop,0.029
radsz_jacop,0.011
radsz_jacop,206.265
radsz_jacop,0.229
radsz_jacop,0.046
radsz_jacop,0.002
radsz_jacop,0.004
radsz_jacop,0.052
radsz_jacop,4.085
radsz_jacop,0.015
radsz_jacop,0.582
radsz_jacop,0.179
radsz_jacop,0.044
radsz_jacop,0.005
radsz_jacop,0.044
radsz_jacop,2.367
radsz_jacop,0.05
radsz_jacop,0.001
radsz_jacop,0.053
radsz_jacop,0.003
radsz_jacop,0
radsz_jacop,2.005
radsz_jacop,0.006
radsz_jacop,0.008
radsz_jacop,0.056
radsz_jacop,0.005
radsz_jacop,0.001
radsz_jacop,0.008
radsz_jacop,0.004
radsz_jacop,0.001
radsz_jacop,0.003
radsz_jacop,0.004
radsz_jacop,0.046
radsz_jacop,0.967
radsz_jacop,0.183
radsz_jacop,0.005
radsz_jacop,0.778
radsz_jacop,0.002
radsz_jacop,0.003
radsz_jacop,0.001
radsz_jacop,0.028
radsz_jacop,0.002
radsz_jacop,0.002
radsz_jacop,6.99
radsz_jacop,2.103
radsz_jacop,0.003
radsz_jacop,0.012
radsz_jacop,0.014
radsz_jacop,0.022
radsz_jacop,0.011
radsz_jacop,0.011
radsz_jacop,0.014
radsz_jacop,0.21
radsz_jacop,0.78
radsz_jacop,0.088
radsz_jacop,0
radsz_jacop,0.003
radsz_jacop,0.025
radsz_jacop,0.002
radsz_jacop,0
radsz_jacop,0.033
radsz_jacop,0.313
radsz_jacop,0.001
radsz_jacop,0.003
radsz_jacop,0.005
radsz_jacop,4.877
radsz_jacop,0.578
radsz_jacop,6.82
radsz_jacop,0
radsz_jacop,0.004
radsz_jacop,0.012
radsz_jacop,1.075
radsz_jacop,0.002
radsz_jacop,0.008
radsz_jacop,0.002
radsz_jacop,0.001
radsz_jacop,0.001
radsz_jacop,0
radsz_jacop,0.001
radsz_jacop,0.001
radsz_jacop,0
radsz_jacop,0.087
radsz_jacop,0.004
radsz_jacop,0.001
radsz_jacop,0.001
radsz_jacop,0.001
radsz_jacop,6.489
radsz_jacop,0.02
radsz_jacop,0.011
radsz_jacop,0.007
radsz_jacop,0.001
radsz_jacop,0
radsz_jacop,0.002
radsz_jacop,0.001
radsz_jacop,0.001
radsz_jacop,0.001
radsz_jacop,0.002
radsz_jacop,0.001
radsz_jacop,0
radsz_jacop,0.001
radsz_jacop,0.993
radsz_jacop,0.012
radsz_jacop,0.186
radsz_jacop,0.002
radsz_jacop,0.001
radsz_jacop,0.001
radsz_jacop,0.024
radsz_jacop,0.001
radsz_jacop,0.001
radsz_jacop,0
radsz_jacop,0.001
radsz_jacop,0.001
radsz_jacop,0.001
radsz_jacop,0
radsz_jacop,0.001
radsz_jacop,0.001
radsz_jacop,0
radsz_jacop,0.001
radsz_jacop,0.001
radsz_jacop,0
radsz_jacop,0.001
radsz_jacop,0.001
radsz_jacop,0
radsz_jacop,0.001
radsz_jacop,0.001
radsz_jacop,0
radsz_jacop,0.001
radsz_jacop,0.001
radsz_jacop,0
radsz_jacop,0.001
radsz_jacop,0.001
radsz_jacop,0
radsz_jacop,0
radsz_jacop,0.001
radsz_jacop,0.001
radsz_jacop,0
radsz_jacop,0.001
radsz_jacop,0
radsz_jacop,0.001
radsz_jacop,0.001
radsz_jacop,0
radsz_jacop,0.002
radsz_jacop,0.001
radsz_jacop,0
radsz_jacop,0.001
radsz_jacop,0.001
radsz_jacop,0.001
radsz_jacop,0.001
radsz_jacop,0
radsz_jacop,0.001
radsz_jacop,0.001
radsz_jacop,0
radsz_jacop,0.001
radsz_jacop,0.001
radsz_jacop,0
radsz_jacop,0.001
radsz_jacop,0
radsz_jacop,0.002
radsz_jacop,0.001
radsz_jacop,0
radsz_jacop,0.001
radsz_jacop,0
radsz_jacop,0.001
radsz_jacop,0.001
radsz_jacop,0
radsz_jacop,0.001
radsz_jacop,0.001
radsz_jacop,0
radsz_jacop,0.001
radsz_jacop,0.001
radsz_jacop,0
radsz_jacop,0.001
radsz_jacop,0
radsz_jacop,0.001
radsz_jacop,0.001
radsz_jacop,0
radsz_jacop,0.001
radsz_jacop,0.001
radsz_jacop,0
radsz_jacop,0.001
radsz_jacop,0.001
radsz_jacop,0.001
radsz_jacop,0.001
radsz_jacop,0.001
radsz_jacop,0.001
radsz_jacop,0
radsz_jacop,0.001
radsz_jacop,0.001
radsz_jacop,0.001
radsz_jacop,0
radsz_jacop,0.001
radsz_jacop,0
radsz_jacop,0.001
radsz_jacop,0
radsz_jacop,0.001
radsz_jacop,0
radsz_jacop,0.001
radsz_jacop,0.001
radsz_jacop,0
radsz_jacop,0
radsz_jacop,0.001
radsz_jacop,0.001
radsz_jacop,0
radsz_jacop,0.001
radsz_jacop,0
radsz_jacop,0.001
radsz_jacop,0
radsz_jacop,0.001
radsz_jacop,0
radsz_jacop,0
