project_path,test_success,maven_test_time,xml_test_time,overhead_time
blynkkk_blynk-server,false,4.69,0.643,4.047000000000001
bmwcarit_barefoot,false,2.943,1.107,1.836
bouncestorage_chaos-http-proxy,true,87.916,86.709,1.2069999999999936
brahalla_Cerberus,true,8.01,0.839,7.170999999999999
bramp_ffmpeg-cli-wrapper,false,4.694,1.545,3.149
brianfrankcooper_YCSB,true,287.369,269.089,18.28000000000003
brianmcmichael_SAGU,false,3.108,1.46,1.6480000000000001
bwssytems_ha-bridge,true,1.192,0.109,1.083
caelum_mamute,false,21.848,17.778000000000013,4.069999999999986
caelum_vraptor,false,15.016,7.694999999999998,7.321000000000002
caelum_vraptor4,true,12.087,10.366999999999999,1.7200000000000006
camunda_camunda-bpm-platform,false,1663.081,1449.0079999999984,214.07300000000146
centic9_jgit-cookbook,false,0,0,0
chewiebug_GCViewer,false,8.898,7.2090000000000005,1.6889999999999992
chocotan_lolibox,false,19.087,0.017,19.07
chocoteam_choco-solver,false,1001.919,999.84,2.078999999999951
chrisvest_stormpot,true,6.032,3.4909999999999997,2.5410000000000004
cloudera_htrace,false,9.632,8.61,1.0220000000000002
cloudera_kitten,false,5.711,4.3069999999999995,1.4040000000000008
cloudera_spark-dataflow,true,69.812,55.67199999999999,14.140000000000008
cobbzilla_s3s3mirror,false,0.93,0.121,0.809
codecentric_spring-boot-admin,false,96.977,29.212,67.765
codefollower_Tomcat-Research,false,831.271,827.74,3.530999999999949
codelibs_fess,true,18.425,12.881000000000002,5.543999999999999
cometd_cometd,false,0.785,0,0.785
crashub_crash,false,39.646,30.18100000000002,9.464999999999982
danieldk_dictomaton,true,5.307,4.185,1.1220000000000008
davidB_scala-maven-plugin,false,3.525,0.05500000000000001,3.4699999999999998
davidmoten_geo,true,3.143,1.643,1.4999999999999998
davidmoten_rtree,true,9.891,8.322,1.5690000000000008
davidmoten_rxjava-jdbc,true,4.64,2.502,2.138
dcm4che_dcm4che,true,18.342,4.270999999999999,14.071
ddf-project_DDF,false,326.473,116.708,209.76500000000001
debezium_debezium,true,25.99,21.069,4.920999999999999
decebals_pf4j,true,1.694,0.354,1.3399999999999999
deeplearning4j_nd4j,true,30.322,1.7419999999999995,28.58
devnied_EMV-NFC-Paycard-Enrollment,false,3.723,1.339,2.384
dianping_zebra,false,12.391,0.11300000000000002,12.278
dibbhatt_kafka-spark-consumer,true,12.07,10.206,1.8640000000000008
dieforfree_qart4j,true,0.716,0.008,0.708
digitalfondue_lavagna,true,29.854,18.038000000000004,11.815999999999995
docker-java_docker-java,true,5.979,3.328,2.6510000000000002
drtshock_Essentials,false,4.168,0.031,4.1370000000000005
easymock_easymock,false,7.924,3.2550000000000003,4.6690000000000005
easymock_objenesis,false,4.108,0.59,3.518
eclipse_leshan,true,14.354,25.143999999999995,-10.789999999999996
eclipsesource_J2V8,false,7.449,5.847000000000001,1.6019999999999985
eivindveg_HotSUploader,false,0,0,0
elki-project_elki,false,1.752,0.001,1.7510000000000001
etsy_statsd-jvm-profiler,true,2.302,0.7479999999999999,1.5540000000000003
eugenp_REST-With-Spring,true,3.136,0.521,2.615
fabric8io_spring-cloud-kubernetes,false,16.661,10.556,6.105000000000002
facebookarchive_linkbench,true,262.104,555.5379999999999,-293.4339999999999
fakereplace_fakereplace,false,4.773,0.484,4.289
feroult_yawp,true,6.888,2.8129999999999966,4.075000000000003
fizzed_rocker,false,0.634,0,0.634
fluent_fluent-logger-java,true,34.117,33.326,0.7909999999999968
forcedotcom_wsc,true,6.602,4.582,2.0200000000000005
forge_core,false,63.861,26.357999999999993,37.503
fpj_zookeeper-book-example,true,60.974,59.397000000000006,1.576999999999991
freedomotic_freedomotic,true,15.687,6.857000000000001,8.829999999999998
frohoff_ysoserial,false,3.935,2.774,1.161
fusesource_hawtdispatch,false,35.005,11.991999999999999,23.013000000000005
galenframework_galen,false,6.014,3.38,2.6340000000000003
gchq_Gaffer,false,112.809,42.83099999999999,69.97800000000001
geotools_geotools,true,454.131,392.5599999999983,61.571000000001675
giltene_jHiccup,true,1.168,0.034,1.134
github_maven-plugins,true,2.4,0.839,1.561
glowroot_glowroot,false,0.722,0,0.722
glyptodon_guacamole-client,true,10.978,0.043,10.935
google_closure-compiler,true,86.68,42.80100000000001,43.879
google_google-java-format,false,349.08299999999997,3.189,345.89399999999995
googleads_googleads-java-lib,false,56.109,48.73999999999999,7.369000000000014
graphaware_neo4j-framework,false,279.709,274.4119999999999,5.297000000000082
graphaware_neo4j-reco,true,13.16,11.692,1.468
graphaware_neo4j-timetree,false,84.65,82.72100000000002,1.9289999999999878
graphhopper_map-matching,false,1.091,0.026,1.065
greenmail-mail-test_greenmail,true,54.344,50.888,3.456000000000003
hantsy_angularjs-springmvc-sample,true,6.837,2.743,4.093999999999999
hantsy_angularjs-springmvc-sample-boot,false,0.857,0,0.857
haraldk_TwelveMonkeys,true,51.507,42.98799999999998,8.51900000000002
hazelcast_hazelcast,false,88.0,10305.585000000015,-10217.585000000015
hazelcast_hazelcast-jet,true,220.40699999999998,452.55499999999995,-232.14799999999997
hdiv_hdiv,true,10.595,7.713,2.8820000000000006
healthonnet_hon-lucene-synonyms,true,4.259,2.9830000000000005,1.2759999999999998
hector-client_hector,false,354.102,250.251,103.85099999999997
hibernate_hibernate-ogm,true,277.079,240.99999999999994,36.079000000000065
hibernate_hibernate-search,false,0.721,0,0.721
horrorho_InflatableDonkey,true,1.35,0.3480000000000001,1.002
httl_httl,false,38.563,37.22800000000001,1.3349999999999937
ihaolin_diablo,false,50.591,45.769999999999996,4.821000000000005
ihaolin_wepay,false,0.639,0.031,0.608
imglib_imglib2,true,7.271,4.943999999999999,2.327000000000001
impetus-opensource_Kundera,false,0,0,0
impossibl_pgjdbc-ng,false,2.799,0.8640000000000002,1.9349999999999996
infinitest_infinitest,false,16.127,7.812000000000002,8.314999999999998
intuit_karate,true,15.153,9.282999999999998,5.870000000000003
intuit_wasabi,false,0,0,0
ippontech_tatami,false,358.161,348.02199999999993,10.139000000000067
jankotek_mapdb,true,514.619,236.0540000000001,278.56499999999994
