overhead_time,project_path,timecost_group,test_success,selection_group,xml_test_time,maven_test_time
0,Adobe-Consulting-Services_acs-aem-commons,short,false,untestable,0,0
1.074,CorfuDB_CorfuDB,short,false,untestable,0,1.074
0.55,Netflix_Surus,short,false,untestable,0,0.55
0.403,NoCheatPlus_NoCheatPlus,short,false,untestable,0,0.403
0.54,OpenGamma_Strata,short,false,untestable,0,0.54
0,alibaba_druid,short,false,untestable,0,0
1.14,antlr_stringtemplate4,short,false,untestable,0,1.14
0,apache_accumulo,short,false,untestable,0,0
0.702,apache_activemq-artemis,short,false,untestable,0,0.702
0.735,apache_beam,short,false,untestable,0,0.735
78.10500000000002,apache_giraph,long,true,testable,978.579,1056.684
52.495,apache_incubator-brooklyn,short,false,testable,49.04200000000001,101.537
9.91,apache_incubator-guacamole-client,short,false,testable,0.042,9.952
52.178999999999945,apache_incubator-metron,medium,false,testable,145.87000000000006,198.049
5.803999999999995,apache_incubator-samoa,short,true,testable,52.029,57.833
15.590000000000089,apache_jackrabbit,long,true,testable,400.7039999999999,416.294
16.967999999989388,apache_jackrabbit-oak,long,false,testable,2902.3670000000106,2919.335
216.0100000000001,apache_logging-log4j2,medium,false,testable,276.6949999999999,492.705
0.438,apache_mahout,short,false,untestable,0,0.438
28.315000000000012,apache_maven,short,true,testable,12.680999999999992,40.996
-0.5580000000000003,apache_maven-surefire,short,false,testable,1.1390000000000002,0.581
5.143000000000015,apache_mina,short,true,testable,41.90999999999998,47.053
2.341,apache_nifi,short,false,untestable,0,2.341
0.628,apache_opennlp,short,false,untestable,0,0.628
35.769999999999996,apache_parquet-mr,short,false,testable,49.211,84.981
2.5429999999999886,apache_pdfbox,short,false,testable,27.17100000000001,29.714
254.13100000000134,apache_sling,long,false,testable,888.1039999999986,1142.235
91.13,apache_stanbol,medium,false,testable,129.89100000000002,221.02100000000002
22.42399999999992,apache_tika,medium,true,testable,235.08300000000008,257.507
41.349000000000004,apache_tomee,short,false,testable,17.605,58.954
49.64999999999982,apache_wicket,medium,true,testable,107.40600000000016,157.05599999999998
3.5300000000000025,apereo_java-cas-client,short,true,testable,3.0049999999999977,6.535
72.98800000000001,apiman_apiman,short,false,testable,26.080999999999992,99.069
9.322,armzilla_amazon-echo-ha-bridge,short,true,testable,0.003,9.325
4.761000000000001,arnaudroger_SimpleFlatMapper,short,false,testable,3.303999999999998,8.065
1.3689999999999998,aseldawy_spatialhadoop2,short,true,testable,16.62,17.989
33.316,astamuse_asta4d,short,false,testable,7.248,40.564
0.692,asterisk-java_asterisk-java,short,false,untestable,0,0.692
369.07200000000006,atilika_kuromoji,medium,true,testable,105.52099999999997,474.593
7.390999999999963,atomix_atomix,long,true,testable,480.38500000000005,487.776
19.802000000001613,aws_aws-sdk-android,long,false,testable,888.6769999999984,908.479
45.220000000000056,aws_aws-sdk-java,medium,true,testable,245.37999999999997,290.6
3.8979999999999997,awslabs_amazon-kinesis-client,short,true,testable,11.881,15.779
1.5779999999999998,awslabs_amazon-kinesis-connectors,short,true,testable,1.682,3.26
2.492,awslabs_aws-apigateway-importer,short,true,testable,1.5579999999999998,4.05
5.208,awslabs_dynamodb-cross-region-library,short,true,testable,0.294,5.502
1.7840000000000003,awslabs_dynamodb-transactions,short,true,testable,0.94,2.724
0.205,b3log_symphony,short,false,untestable,0,0.205
6.4909999999999926,basho_riak-java-client,short,true,testable,33.56900000000001,40.06
44.055,bazaarvoice_jolt,short,true,testable,1.1520000000000001,45.207
5.754,benas_jql,short,true,testable,5.307,11.061
6.02300000000001,bitcoinj_bitcoinj,medium,false,testable,64.582,70.605
4.047000000000001,blynkkk_blynk-server,short,false,testable,0.643,4.69
1.836,bmwcarit_barefoot,short,false,testable,1.107,2.943
1.2069999999999936,bouncestorage_chaos-http-proxy,medium,true,testable,86.709,87.916
7.170999999999999,brahalla_Cerberus,short,true,testable,0.839,8.01
3.149,bramp_ffmpeg-cli-wrapper,short,false,testable,1.545,4.694
18.28000000000003,brianfrankcooper_YCSB,medium,true,testable,269.089,287.369
1.6480000000000001,brianmcmichael_SAGU,short,false,testable,1.46,3.108
1.083,bwssytems_ha-bridge,short,true,testable,0.109,1.192
4.069999999999986,caelum_mamute,short,false,testable,17.778000000000013,21.848
7.321000000000002,caelum_vraptor,short,false,testable,7.694999999999998,15.016
1.7200000000000006,caelum_vraptor4,short,true,testable,10.366999999999999,12.087
214.07300000000146,camunda_camunda-bpm-platform,long,false,testable,1449.0079999999984,1663.081
0,centic9_jgit-cookbook,short,false,untestable,0,0
1.6889999999999992,chewiebug_GCViewer,short,false,testable,7.2090000000000005,8.898
19.07,chocotan_lolibox,short,false,testable,0.017,19.087
2.078999999999951,chocoteam_choco-solver,long,false,testable,999.84,1001.919
2.5410000000000004,chrisvest_stormpot,short,true,testable,3.4909999999999997,6.032
1.0220000000000002,cloudera_htrace,short,false,testable,8.61,9.632
1.4040000000000008,cloudera_kitten,short,false,testable,4.3069999999999995,5.711
14.140000000000008,cloudera_spark-dataflow,short,true,testable,55.67199999999999,69.812
0.809,cobbzilla_s3s3mirror,short,false,testable,0.121,0.93
67.765,codecentric_spring-boot-admin,short,false,testable,29.212,96.977
3.530999999999949,codefollower_Tomcat-Research,long,false,testable,827.74,831.271
5.543999999999999,codelibs_fess,short,true,testable,12.881000000000002,18.425
0.785,cometd_cometd,short,false,untestable,0,0.785
9.464999999999982,crashub_crash,short,false,testable,30.18100000000002,39.646
1.1220000000000008,danieldk_dictomaton,short,true,testable,4.185,5.307
3.4699999999999998,davidB_scala-maven-plugin,short,false,testable,0.05500000000000001,3.525
1.4999999999999998,davidmoten_geo,short,true,testable,1.643,3.143
1.5690000000000008,davidmoten_rtree,short,true,testable,8.322,9.891
2.138,davidmoten_rxjava-jdbc,short,true,testable,2.502,4.64
14.071,dcm4che_dcm4che,short,true,testable,4.270999999999999,18.342
209.76500000000001,ddf-project_DDF,medium,false,testable,116.708,326.473
4.920999999999999,debezium_debezium,short,true,testable,21.069,25.99
1.3399999999999999,decebals_pf4j,short,true,testable,0.354,1.694
28.58,deeplearning4j_nd4j,short,true,testable,1.7419999999999995,30.322
2.384,devnied_EMV-NFC-Paycard-Enrollment,short,false,testable,1.339,3.723
12.278,dianping_zebra,short,false,testable,0.11300000000000002,12.391
1.8640000000000008,dibbhatt_kafka-spark-consumer,short,true,testable,10.206,12.07
0.708,dieforfree_qart4j,short,true,testable,0.008,0.716
11.815999999999995,digitalfondue_lavagna,short,true,testable,18.038000000000004,29.854
2.6510000000000002,docker-java_docker-java,short,true,testable,3.328,5.979
