project,time
apache_flume,0.001
apache_flume,0.001
apache_flume,0
apache_flume,0.107
apache_flume,1.015
apache_flume,0.329
apache_flume,0.021
apache_flume,0.029
apache_flume,0.027
apache_flume,0.086
apache_flume,0.178
apache_flume,0.125
apache_flume,0.101
apache_flume,0.118
apache_flume,6.128
apache_flume,0.153
apache_flume,5.115
apache_flume,2.125
apache_flume,2.102
apache_flume,6.08
apache_flume,6.073
apache_flume,4.618
apache_flume,0.425
apache_flume,0.019
apache_flume,0.028
apache_flume,0.02
apache_flume,0.02
apache_flume,34.291
apache_flume,30.205
apache_flume,0.03
apache_flume,0.017
apache_flume,3.023
apache_flume,0
apache_flume,0
apache_flume,1
apache_flume,1.293
apache_flume,0.203
apache_flume,12.36
apache_flume,0.904
apache_flume,0.212
apache_flume,0.005
apache_flume,0.004
apache_flume,0.002
apache_flume,0.002
apache_flume,0.014
apache_flume,0.005
apache_flume,0.001
apache_flume,0.001
apache_flume,8.158
apache_flume,7.724
apache_flume,7.625
apache_flume,7.657
apache_flume,0.87
apache_flume,1.286
apache_flume,0.001
apache_flume,0.005
apache_flume,0
apache_flume,0.111
apache_flume,3.01
apache_flume,0.013
apache_flume,0.003
apache_flume,0
apache_flume,0.009
apache_flume,0.002
apache_flume,0.523
apache_flume,0.01
apache_flume,0
apache_flume,0.008
apache_flume,0.006
apache_flume,0
apache_flume,0.015
apache_flume,0.001
apache_flume,0.026
apache_flume,0
apache_flume,0.067
apache_flume,0.022
apache_flume,0
apache_flume,0.001
apache_flume,0.001
apache_flume,0.001
apache_flume,0.001
apache_flume,0
apache_flume,0.01
apache_flume,0
apache_flume,0.005
apache_flume,0.001
apache_flume,0
apache_flume,0.001
apache_flume,0
apache_flume,0.001
apache_flume,0.003
apache_flume,0.001
apache_flume,0.424
apache_flume,0.257
apache_flume,1.225
apache_flume,0.338
apache_flume,3.125
apache_flume,0.007
apache_flume,0.062
apache_flume,4.003
apache_flume,0.002
apache_flume,0.119
apache_flume,0.204
apache_flume,5.017
apache_flume,0.004
apache_flume,0.005
apache_flume,3.572
apache_flume,18.317
apache_flume,56.228
apache_flume,2.897
apache_flume,3.536
apache_flume,2.071
apache_flume,0.717
apache_flume,0.186
apache_flume,0.017
apache_flume,0.014
apache_flume,0.011
apache_flume,6.542
apache_flume,6.078
apache_flume,1.047
apache_flume,1.068
apache_flume,1.307
apache_flume,1.061
apache_flume,1.121
apache_flume,0.146
apache_flume,0.132
apache_flume,0.136
apache_flume,0.009
apache_flume,0.009
apache_flume,0.008
apache_flume,0
apache_flume,0.221
apache_flume,0.002
apache_flume,0.024
apache_flume,0.008
apache_flume,0.005
apache_flume,0
apache_flume,0.008
apache_flume,0
apache_flume,0.558
apache_flume,0.005
apache_flume,0.005
apache_flume,0.004
apache_flume,0.003
apache_flume,0.003
apache_flume,0.025
apache_flume,0.003
apache_flume,0.003
apache_flume,0.002
apache_flume,0.005
apache_flume,0.004
apache_flume,0.005
apache_flume,0.012
apache_flume,0.002
apache_flume,0.004
apache_flume,0.005
apache_flume,0.004
apache_flume,0.004
apache_flume,0.002
apache_flume,0.003
apache_flume,0.003
apache_flume,0.005
apache_flume,0.009
apache_flume,0.004
apache_flume,0.004
apache_flume,0.553
apache_flume,0.004
apache_flume,0.151
apache_flume,0.066
apache_flume,0.054
apache_flume,0.051
apache_flume,0.003
apache_flume,0.009
apache_flume,0.007
apache_flume,0.1
apache_flume,0.046
apache_flume,0.026
apache_flume,1.271
apache_flume,0.155
apache_flume,10.308
apache_flume,0.966
apache_flume,0.088
apache_flume,0.002
apache_flume,0.002
apache_flume,7.715
apache_flume,0.031
apache_flume,0.001
apache_flume,0
apache_flume,0.001
apache_flume,0.002
apache_flume,0.001
apache_flume,0.002
apache_flume,0.003
apache_flume,0.002
apache_flume,0.032
apache_flume,0.003
apache_flume,0.002
apache_flume,0.005
apache_flume,0.004
apache_flume,0.006
apache_flume,0.008
apache_flume,0.008
apache_flume,0.007
apache_flume,0.013
apache_flume,3.095
apache_flume,3.504
apache_flume,7.003
apache_flume,3.501
apache_flume,7.003
apache_flume,10.505
apache_flume,3.504
apache_flume,1.503
apache_flume,0.059
apache_flume,2.011
apache_flume,0.519
apache_flume,0
apache_flume,0.38
apache_flume,0.059
apache_flume,0.406
apache_flume,2.159
apache_flume,5.881
apache_flume,0.067
apache_flume,0.056
apache_flume,0.106
apache_flume,6.067
apache_flume,31.164
apache_flume,0.13
apache_flume,0.061
apache_flume,7.511
apache_flume,0.149
apache_flume,0.137
apache_flume,0.236
apache_flume,0.033
apache_flume,0.038
apache_flume,0.038
apache_flume,0.049
apache_flume,0.359
apache_flume,0.201
apache_flume,0.02
apache_flume,0.038
apache_flume,1.126
apache_flume,0.75
apache_flume,0.143
apache_flume,0.132
apache_flume,0.286
apache_flume,0.194
apache_flume,0.557
apache_flume,0.126
apache_flume,1.339
apache_flume,1.009
apache_flume,1.007
apache_flume,0.379
apache_flume,0.009
apache_flume,0.014
apache_flume,0.079
apache_flume,0.047
apache_flume,0.018
apache_flume,0.022
apache_flume,0.013
apache_flume,0.01
apache_flume,0.04
apache_flume,0.443
apache_flume,0.13
apache_flume,0.267
apache_flume,0.099
apache_flume,0.063
apache_flume,0.141
apache_flume,2.587
apache_flume,0.004
apache_flume,0.576
apache_flume,0.014
apache_flume,0.012
apache_flume,0.014
apache_flume,0.017
apache_flume,3.037
apache_flume,3.034
apache_flume,3.046
apache_flume,3.133
apache_flume,0.011
apache_flume,3.239
apache_flume,0.033
apache_flume,0.026
apache_flume,0.002
apache_flume,0.043
apache_flume,0.04
apache_flume,0.007
apache_flume,0.035
apache_flume,0.009
apache_flume,0.359
apache_flume,0.022
apache_flume,0.003
apache_flume,0.012
apache_flume,0.001
