name,compiled,tested,tests,suites,failures,runs,mvn_time_avg,mvn_time_sd,xml_time_avg,xml_time_sd
vavr-io_vavr,SUCCESS,SUCCESS,23136,145,0,3,178,NA,314.947,NA
vmware_admiral,SUCCESS,FAILURE,1538,240,2,3,1277,NA,1069.427,NA
weld_core,SUCCESS,SUCCESS,1489,664,0,3,192,NA,119.693,NA
withstars_Blog-System,SUCCESS,SUCCESS,0,0,0,3,1.247,NA,0,NA
withstars_Books-Management-System,SUCCESS,SUCCESS,0,0,0,3,1.817,NA,0,NA
xuminwlt_j360-dubbo-app-all,SUCCESS,SUCCESS,0,0,0,3,8.887,NA,0,NA
yegor256_takes,SUCCESS,SUCCESS,479,166,0,3,40.666,NA,54.633,NA
zalando_logbook,SUCCESS,SUCCESS,551,104,0,3,64,NA,26.632,NA
zalando_problem,SUCCESS,SUCCESS,61,11,0,3,13.751,NA,0.62,NA
zalando_problem-spring-web,SUCCESS,SUCCESS,346,52,0,3,68,NA,16.118,NA
zxing_zxing,SUCCESS,SUCCESS,452,140,0,3,85,NA,126.759,NA
