created_at,default_branch,fork,full_name,ismaven,pushed_at,rev,size,stargazers_count
2017-12-01T20:49:15Z,master,False,spring-cloud-incubator/spring-cloud-alibaba,True,2018-12-17T09:06:47Z,560e13c279373b6d14d10c4e675ee6d969740fea,1084,2592
2009-05-21T00:25:36Z,master,False,apache/camel,True,2018-12-17T09:17:38Z,5de001b3ea376fc60d6c90df58e7fe33ef2431e1,231790,2280
2011-07-14T01:11:57Z,jetty-9.4.x,False,eclipse/jetty.project,True,2018-12-17T00:05:59Z,9af977fa932071f0d094a86e129de62195bf71aa,119372,2279
2015-02-19T08:00:05Z,master,False,apache/ignite,True,2018-12-17T09:14:06Z,8ef84661f450f775f1f6b2ad7d893fead75d97aa,320936,2155
2016-12-26T13:26:29Z,master,False,JanusGraph/janusgraph,True,2018-12-17T01:37:05Z,0eded663c8d34a79c74f4084e0a62f29fe0189f6,51039,1953
2016-11-30T08:06:30Z,develop,False,vipshop/Saturn,True,2018-12-17T08:42:05Z,18950c2d9a62613a3923db9c5d444cfa510bb22f,30499,1136
2015-03-06T20:51:47Z,master,False,spring-cloud/spring-cloud-sleuth,True,2018-12-17T01:50:00Z,d4c4a88716c973b3759588797e5de412b1656760,79803,894
2014-01-15T08:00:08Z,master,False,apache/struts,True,2018-12-17T05:13:39Z,414719171ae14b215537c1c17f8e0e6d34ec5c19,75071,892
2010-11-04T12:33:19Z,master,False,infinispan/infinispan,True,2018-12-17T09:22:49Z,f8702d459253b32b7c012e5fd3213127dba3827c,115441,695
2015-09-09T22:43:02Z,master,False,streamsets/datacollector,True,2018-12-17T08:59:40Z,1aafd247507a6670dee370e024756e664e25fe21,328443,611
2015-07-31T23:42:41Z,master,False,sonatype/nexus-public,True,2018-12-17T00:11:10Z,f06084e0e840e6088cc7e2fc84e6da609cf45aa5,45430,419
2013-09-19T22:02:36Z,master,False,CorfuDB/CorfuDB,True,2018-12-17T09:27:15Z,406b4502ada0eeab9a77e1e3c1c8daabfafd5f85,499267,402
2017-05-08T21:52:58Z,master,False,kubernetes-client/java,True,2018-12-17T08:05:50Z,e750b984b3c503fe40c04fb156b35f5978561c69,5091,400
2013-04-11T18:22:33Z,develop,False,OpenNMS/opennms,True,2018-12-17T01:57:35Z,783dd2fcda84da4ceb65601d72c511dde8cf236d,516674,389
2015-05-22T07:00:05Z,master,False,apache/activemq-artemis,True,2018-12-17T02:43:37Z,f60d50c8adaf29dd6fafcc413cc7ae4486a346bf,56289,373
2016-03-20T03:38:04Z,develop,False,zeebe-io/zeebe,True,2018-12-17T09:24:54Z,81c06d55cd45f27a43b3fffad5b09c199df30e7d,27500,372
2016-02-18T21:32:47Z,master,False,thorntail/thorntail,True,2018-12-17T09:17:59Z,96fafb9b04690fce49475128239ae2bd27ffb6df,21439,292
2015-07-11T07:00:06Z,master,False,apache/james-project,True,2018-12-17T02:27:03Z,e85f41a1ea9948f7dda924849a5b81631a9e1604,37781,249
2013-01-22T08:00:16Z,master,False,apache/tomee,True,2018-12-17T06:11:14Z,337176e1e754f7424ce4d6bbb22df83858c2cfd1,65173,248
