mode,name,elapsed_time,r_time,r_skipped,r_tests,r_failures,t_user,t_sys,t_wall
Standard,redpen,36.636,31.285000000000007,6,708,0,67.5,1.64,37.35
Standard,twilio-java,82,77.735,0,882,0,100.46,0.69,83.46
Standard,Web-Karma,28.208,20.081000000000003,0,43,0,67.77,1.72,29.08
Standard,Cerberus,8.947,1.1470000000000002,0,22,0,38.43,0.62,9.67
Standard,amazon-kinesis-connectors,2.397,1.1480000000000001,0,5,0,8.39,0.21,3.07
Standard,jumblr,1.171,0.24300000000000005,0,103,0,6.26,0.12,1.99
Standard,webapp-runner,1.946,0.004,0,4,0,8.23,0.3,2.67
Standard,java-cas-client,7.227,2.6739999999999986,1,150,0,19.69,0.6,7.94
Standard,spring-amqp-samples,3.011,1.185,0,1,0,10.7,0.34,3.73
Standard,zkui,0.880,0.0,0,0,0,5.08,0.15,1.56
Standard,spring-data-commons,16.999,8.237999999999996,2,1981,0,60.58,1.48,17.82
Standard,grunt-maven-plugin,2.687,0.132,0,9,0,13.3,0.19,3.43
Standard,statsd-jvm-profiler,2.690,0.6010000000000001,0,45,0,10.29,0.25,3.5
Standard,spring-cloud-sleuth,239,42.783999999999985,0,338,0,598.4,10.37,240.02
Standard,storm-crawler,7.773,4.842999999999999,0,74,0,24.87,0.61,8.71
Standard,Argus,296,287.3110000000001,4,627,0,208.79,4.28,297.21
Standard,jBCrypt,13.027,12.164,0,6,0,17.24,0.09,13.86
Standard,sharpen,6.625,5.457000000000001,1,278,0,19.77,0.8,7.39
Standard,asterisk-java,10.885,8.470999999999998,0,221,0,9.9,0.8,11.63
Standard,paho.mqtt.java,299,283.519,0,49,0,321.46,4.46,300.71
Standard,hibernate-search,155,101.904,1,1133,0,318.62,11.35,156.9
Standard,s3s3mirror,1.216,0.10500000000000001,0,15,0,6.13,0.14,1.98
Standard,sakai,300,79.53900000000004,11,1296,0,580.52,33.74,302.7
Standard,acs-aem-commons,43.228,33.28099999999999,0,558,0,53.72,1.05,44.09
Standard,dcm4che,15.308,4.161999999999999,4,284,0,40.8,0.86,16.29
Standard,apex-core,1115,1088.151,16,412,0,181.3,15.64,1116.44
Standard,netty-zmtp,6.221,3.691,0,48,0,12.25,0.32,7.03
Standard,jsonld-java,32.633,29.477999999999998,10,528,0,23.69,0.41,33.54
Standard,angularjs-springmvc-sample,8.090,1.089,0,15,0,30.25,0.58,9.0
Standard,rythmengine,34.424,32.418,3,254,0,47.27,0.92,35.25
Standard,choco-solver,1984,1978.454999999988,0,2414,0,6447.26,37.85,1985.38
Standard,CLAVIN,9.455,7.8790000000000004,0,80,0,21.52,0.47,10.26
Standard,jmeter-maven-plugin,5.090,1.3019999999999994,3,71,0,18.94,0.34,6.02
