name,compiled,tested,tests,suites,failures,runs,mvn_time_avg,mvn_time_sd,xml_time_avg,xml_time_sd,perc_failures,timecost_group
hdiv_hdiv,SUCCESS,SUCCESS,237,47,0,3,12.769,0.211454486828726,9.50766666666667,0.24246511776611,0.00,short
healthonnet_hon-lucene-synonyms,SUCCESS,SUCCESS,19,16,0,3,5.883,0.046486557196678,1.14866666666667,0.0217791949652261,0.00,short
hector-client_hector,SUCCESS,FAILURE,322,70,6,3,431,19.0787840283389,320.364333333333,18.6802529247688,1.86,long
hengyunabc_xdiamond,SUCCESS,?,2,2,0,3,0,0,0.592666666666667,0.0173877351409933,0.00,short
hibernate_hibernate-ogm,SUCCESS,SUCCESS,896,242,0,3,170.666666666667,2.08166599946613,130.569,1.92754377382202,0.00,medium
hibernate_hibernate-search,FAILURE,FAILURE,1235,359,0,3,141.333333333333,1.15470053837925,93.7983333333334,0.903124760668933,0.00,medium
HolgerHees_cloudsync,SUCCESS,SUCCESS,2,1,0,3,29.175,16.4209252784367,27.8996666666667,16.4275093770581,0.00,short
horrorho_InflatableDonkey,SUCCESS,SUCCESS,117,11,0,3,7.94666666666667,0.0885569496614093,0.330333333333333,0.0195021366350801,0.00,short
HotswapProjects_HotswapAgent,SUCCESS,FAILURE,69,26,0,3,3.65833333333333,0.132831974062472,0.615,0.034117444218464,0.00,short
httl_httl,SUCCESS,FAILURE,140,11,30,3,68.6,63.5674244877044,61.0383333333333,56.5337070899595,21.43,medium
HuaweiBigData_StreamCQL,SUCCESS,FAILURE,387,112,20,3,3.244,0.0508625599041182,0.747,0.0115325625946709,5.17,short
ihaolin_alipay,SUCCESS,FAILURE,8,2,8,3,1.125,0.0483838816136117,0.0506666666666667,0.000577350269189626,100.00,short
ihaolin_diablo,SUCCESS,FAILURE,26,10,18,3,50.657,0.0605061980296235,45.8576666666667,0.0255799400572645,69.23,short
ihaolin_wepay,SUCCESS,FAILURE,10,1,10,3,1.09966666666667,0.0150111069989303,0.015,0,100.00,short
imglib_imglib2,SUCCESS,SUCCESS,375,67,0,3,11.5333333333333,0.0774359950755031,8.93133333333334,0.0926516774447916,0.00,short
ImmobilienScout24_yum-repo-server,SUCCESS,SUCCESS,192,42,0,3,10.15,0.190283998276261,7.33,0.248610136559232,0.00,short
impetus-opensource_Kundera,SUCCESS,?,928,272,400,3,0,0,11005.661,0.556272415282248,43.10,long
impossibl_pgjdbc-ng,SUCCESS,FAILURE,1475,47,1441,3,7.73533333333333,0.136990267294189,1.497,0.0990151503558924,97.69,short
infinitest_infinitest,SUCCESS,FAILURE,544,154,22,3,27.3446666666667,0.156576924651536,12.0413333333333,0.268421931543106,4.04,short
INRIA_spoon,SUCCESS,SUCCESS,1042,133,0,3,141.333333333333,2.51661147842358,137.201666666667,2.77010836129807,0.00,medium
intuit_karate,SUCCESS,SUCCESS,370,26,0,3,18.5426666666667,0.0523672925912106,20.831,0.0121243556529845,0.00,short
intuit_wasabi,SUCCESS,SUCCESS,1023,230,0,3,60.3333333333333,0.577350269189626,0.158333333333333,0.0106926766215636,0.00,short
iotaledger_iri,SUCCESS,SUCCESS,148,19,0,3,9.817,0.156240199692653,6.151,0.119804006610797,0.00,short
JakeWharton_DiskLruCache,SUCCESS,SUCCESS,61,2,0,3,3.54933333333333,0.0302875111776015,1.34666666666667,0.0401289587870572,0.00,short
JakubDziworski_Enkel-JVM-language,SUCCESS,SUCCESS,27,9,0,3,5.738,0.0902662727711739,0.834666666666667,0.0434664621672081,0.00,short
jankotek_mapdb,SUCCESS,SUCCESS,3872,178,0,3,376,2,331.207333333333,1.40581162796912,0.00,long
javaee-samples_javaee7-samples,SUCCESS,FAILURE,188,188,186,3,190,1,130.034,0.294998305079897,98.94,medium
javaparser_javaparser,SUCCESS,SUCCESS,1209,88,0,3,16.5693333333333,0.219639097915952,5.67966666666667,0.0880018939190115,0.00,short
javaslang_javaslang,SUCCESS,SUCCESS,14520,132,0,3,134.666666666667,4.16333199893227,566.245,75.6959952111075,0.00,long
jbake-org_jbake,SUCCESS,SUCCESS,140,27,0,3,23.6233333333333,0.378116824980499,21.026,0.367245149729713,0.00,short
jbarrez_spring-boot-with-activiti-example,SUCCESS,SUCCESS,1,1,0,3,10.986,0.224408110370369,0.322333333333333,0.00416333199893227,0.00,short
jcabi_jcabi-aspects,SUCCESS,SUCCESS,70,18,0,3,13.961,2.81804737362593,22.2876666666667,2.20042389855531,0.00,short
jcabi_jcabi-github,SUCCESS,SUCCESS,642,158,0,3,17.17,0.820678377928894,255.300333333333,24.6142752144631,0.00,medium
jcabi_jcabi-ssh,SUCCESS,SUCCESS,9,6,0,3,6.63533333333333,2.48010127481386,11.2573333333333,2.89835424565965,0.00,short
jclagache_spring-data-mybatis,SUCCESS,SUCCESS,7,2,0,3,18.1436666666667,0.801596116091721,0.411,0.0108166538263919,0.00,short
JCTools_JCTools,SUCCESS,SUCCESS,791,29,0,3,243,1,237.592333333333,0.977799740914932,0.00,medium
jenkinsci_blueocean-plugin,FAILURE,FAILURE,22,7,0,3,50.3303333333333,0.676000986192573,0.279666666666667,0.022722969289539,0.00,short
jenkinsci_docker-build-publish-plugin,SUCCESS,SUCCESS,10,3,0,3,46.6103333333333,0.213094658152973,49.5983333333333,0.265981828953284,0.00,short
jenkinsci_docker-slaves-plugin,SUCCESS,SUCCESS,19,1,0,3,28.8223333333333,0.217270185099874,16.5583333333333,0.306529498308617,0.00,short
