created_at,default_branch,fork,full_name,ismaven,pushed_at,rev,size,stargazers_count
2010-12-13T05:51:08Z,master,False,jenkinsci/scm-sync-configuration-plugin,True,2019-03-06T00:49:17Z,16e5593cd1f866c68ec9a8d4a62db2c8e0bfe23b,623,114
2017-09-09T00:16:59Z,master,False,withstars/Blog-System,True,2018-03-13T09:57:44Z,0f77bdc6598afc0c5047eafa8c95e96c9bf3e5dc,18085,158
2011-03-31T20:26:03Z,master,False,crashub/crash,True,2018-03-14T11:49:11Z,0be41acdebb125e6963d04864cbbfb3a4a6c7707,20678,832
2017-12-11T09:07:47Z,master,False,fanhua1994/DzFilter,True,2018-03-14T06:08:04Z,b79a056c883433bad20eb91e7de9ea96d8fddb9e,302,194
2017-12-27T12:31:19Z,master,False,wj596/jsets-shiro-spring-boot-starter,True,2018-03-15T08:35:48Z,5f4511ab0fb77f09e1095513b1c7de255995e9b4,256,197
2015-03-08T15:59:36Z,master,False,nativelibs4java/BridJ,True,2018-03-16T11:45:27Z,373c03447df44b5a5508e94fa897369b41b18f48,9522,210
2018-01-08T14:23:03Z,master,False,lingfengsan/MillionHero,True,2018-03-18T09:47:15Z,020a0b3b6fdad00b9a431ce0462091eebf733fee,22741,446
2017-09-14T10:16:30Z,master,False,Allan5945/ssm,True,2018-03-19T09:32:45Z,cffd59dd2c89e2c4e3030956c294213a0bdeae63,428,120
2013-12-16T10:39:28Z,master,False,joshlong/boot-examples,True,2018-03-20T23:20:25Z,4b14c1634e7cfa0e5ab5313fe5a14121ef7c10f7,587,215
2012-01-27T13:04:52Z,master,False,okleine/nCoAP,True,2018-03-20T19:19:31Z,15d5a76260ffc195571b0efe5cde3616c234e193,7599,127
2017-11-14T09:07:39Z,master,False,codingapi/springcloud-lcn-demo,True,2018-03-21T10:18:36Z,1e92c1fc864b209b9b84982e108808f2b4f203c6,312,150
2016-04-28T12:29:09Z,master,False,liaokailin/springcloud,True,2018-03-22T11:18:25Z,4011f08b6aebc6e577eca966eeeebbeb327c4194,3750,172
2015-10-24T12:54:44Z,master,False,Cenyol/SpringMVC,True,2018-03-23T03:10:55Z,25969a85371e1477e85f58e391d28ac612a50c0b,13013,423
