name,exec_id,compiled,tested,mvn_test_time,xml_time,tests,suites,failures
xvitcoder_spring-mvc-angularjs,0822082044,SUCCESS,SUCCESS,0.726,0,0,0,0
xvitcoder_spring-mvc-angularjs,0820095722,SUCCESS,SUCCESS,0.721,0,0,0,0
xvitcoder_spring-mvc-angularjs,0818134515,SUCCESS,SUCCESS,0.722,0,0,0,0
dboissier_mongo4idea,0822082044,?,?,0,0,0,0,0
dboissier_mongo4idea,0820095722,?,?,0,0,0,0,0
dboissier_mongo4idea,0818134515,?,?,0,0,0,0,0
tdunning_t-digest,0822082044,SUCCESS,FAILURE,283,280.87299999999993,121,15,1
tdunning_t-digest,0820095722,SUCCESS,FAILURE,284,281.825,121,15,1
tdunning_t-digest,0818134515,SUCCESS,FAILURE,285,281.994,121,15,1
chrisvest_stormpot,0822082044,SUCCESS,SUCCESS,9.333,4.768,372,10,0
chrisvest_stormpot,0820095722,SUCCESS,SUCCESS,9.18,4.67,372,10,0
chrisvest_stormpot,0818134515,SUCCESS,SUCCESS,9.249,4.667,372,10,0
playn_playn,0822082044,SUCCESS,SUCCESS,3.643,0.273,127,12,0
playn_playn,0820095722,SUCCESS,SUCCESS,3.732,0.27,127,12,0
playn_playn,0818134515,SUCCESS,SUCCESS,3.776,0.265,127,12,0
fpj_zookeeper-book-example,0822082044,SUCCESS,SUCCESS,18.008,14.888,16,5,0
fpj_zookeeper-book-example,0820095722,SUCCESS,SUCCESS,17.817,14.904,16,5,0
fpj_zookeeper-book-example,0818134515,SUCCESS,SUCCESS,17.629,14.648,16,5,0
NationalSecurityAgency_lemongrenade,0829090641,FAILURE,FAILURE,0.553,0,0,0,0
NationalSecurityAgency_lemongrenade,0829191149,FAILURE,FAILURE,0.546,0,0,0,0
NationalSecurityAgency_lemongrenade,0830044330,FAILURE,FAILURE,0.539,0,0,0,0
restx_restx,0822082044,SUCCESS,?,0,46.784,316,77,4
restx_restx,0820095722,SUCCESS,?,0,41.585,316,77,4
restx_restx,0818134515,SUCCESS,?,0,46.44900000000001,316,77,4
kenglxn_QRGen,0822082044,SUCCESS,SUCCESS,4.037,2.17,64,7,0
kenglxn_QRGen,0820095722,SUCCESS,SUCCESS,4.122,2.217,64,7,0
kenglxn_QRGen,0818134515,SUCCESS,SUCCESS,3.982,2.084,64,7,0
maxmind_geoip-api-java,0822082044,SUCCESS,SUCCESS,1.96,0.001,11,9,0
maxmind_geoip-api-java,0820095722,SUCCESS,SUCCESS,1.971,0.004,11,9,0
maxmind_geoip-api-java,0818134515,SUCCESS,SUCCESS,1.959,0.003,11,9,0
ThreeTen_threeten-extra,0829090641,SUCCESS,SUCCESS,8.535,2.426,10605,1,0
ThreeTen_threeten-extra,0829191149,SUCCESS,SUCCESS,8.817,2.657,10605,1,0
ThreeTen_threeten-extra,0830044330,SUCCESS,SUCCESS,8.527,2.442,10605,1,0
soundcloud_java-api-wrapper,0822082044,SUCCESS,FAILURE,74,76.52599999999998,139,9,6
soundcloud_java-api-wrapper,0820095722,SUCCESS,FAILURE,85,87.88900000000001,139,9,6
soundcloud_java-api-wrapper,0818134515,SUCCESS,FAILURE,104,107.45800000000001,139,9,6
tinyMediaManager_tinyMediaManager,0829090641,SUCCESS,SUCCESS,1.449,0,0,0,0
tinyMediaManager_tinyMediaManager,0829191149,SUCCESS,SUCCESS,1.45,0,0,0,0
tinyMediaManager_tinyMediaManager,0830044330,SUCCESS,SUCCESS,1.473,0,0,0,0
GoogleCloudPlatform_DataflowJavaSDK,0822082044,SUCCESS,SUCCESS,141,134.2970000000001,3388,307,0
GoogleCloudPlatform_DataflowJavaSDK,0820095722,SUCCESS,SUCCESS,143,136.41500000000013,3388,307,0
GoogleCloudPlatform_DataflowJavaSDK,0818134515,SUCCESS,SUCCESS,139,132.062,3388,307,0
mappum_mercury,0822082044,FAILURE,FAILURE,0.258,0,0,0,0
mappum_mercury,0820095722,FAILURE,FAILURE,0.252,0,0,0,0
mappum_mercury,0818134515,FAILURE,FAILURE,0.253,0,0,0,0
skavanagh_EC2Box,0822082044,SUCCESS,SUCCESS,1.12,0,0,0,0
skavanagh_EC2Box,0820095722,SUCCESS,SUCCESS,0.987,0,0,0,0
skavanagh_EC2Box,0818134515,SUCCESS,SUCCESS,1.053,0,0,0,0
astarring_mybatis-generator-gui,0822082044,FAILURE,FAILURE,0.291,0,0,0,0
astarring_mybatis-generator-gui,0820095722,FAILURE,FAILURE,0.297,0,0,0,0
astarring_mybatis-generator-gui,0818134515,FAILURE,FAILURE,0.33,0,0,0,0
antlr_stringtemplate4,0822082044,SUCCESS,FAILURE,4.543,2.6469999999999994,612,33,3
antlr_stringtemplate4,0820095722,SUCCESS,FAILURE,4.426,2.5359999999999996,612,33,3
