SUBJECT,BUILDER,COMPILED,TESTS_PASS,ELAPSED_TIME
AndroidPdfViewer,Gradle,False,False,0s
ig-json-parser,Gradle,False,False,0s
CalendarListview,Gradle,N/A,N/A,N/A
MultipleTheme,Gradle,False,False,0s
dbeaver,Maven,True,True,1m11s
archaius,Gradle,False,False,0s
qianghongbao,Gradle,False,False,0s
RocooFix,Gradle,False,False,0s
CircularAnim,Gradle,False,False,0s
bilibili,Gradle,False,False,0s
ExpandableLayout,Gradle,N/A,N/A,N/A
material-design-dimens,Gradle,False,False,0s
PagerBottomTabStrip,Gradle,N/A,N/A,N/A
jackson-databind,Maven,False,False,0s
Android-RoundCornerProgressBar,Gradle,False,False,0s
material-sheet-fab,Gradle,N/A,N/A,N/A
PinterestLikeAdapterView,Gradle,False,False,0s
Space-Navigation-View,Gradle,N/A,N/A,N/A
greedo-layout-for-android,Gradle,False,False,0s
jjwt,Maven,True,True,20s
rootbeer1,Maven,False,False,0s
jetty.project,Maven,True,False,24m34s
StatusBarCompat,Gradle,False,False,0s
adb-idea,Ant,False,False,0s
cube-sdk,Maven,True,True,0s
GifView,Gradle,N/A,N/A,N/A
BeautifulRefreshLayout,Gradle,N/A,N/A,N/A
RecyclerRefreshLayout,Gradle,False,False,0s
AndroidScrollingImageView,Gradle,False,False,0s
smoothie,Gradle,False,False,0s
MaterialTransitions,Gradle,False,False,0s
querydsl,Maven,True,False,2m41s
GridPasswordView,Gradle,False,False,0s
RecyclerViewCardGallery,Gradle,False,False,0s
ribbon,Gradle,False,False,0s
astrid,Ant,False,False,0s
jmxtrans,Maven,False,False,0s
jackson-core,Maven,False,False,0s
WheelPicker,Gradle,N/A,N/A,N/A
FlycoDialog_Master,Gradle,False,False,0s
morphia,Gradle,False,False,0s
Dragger,Gradle,False,False,0s
AndroidSocialNetworks,Gradle,N/A,N/A,N/A
ChatSecureAndroid,Maven,False,False,0s
sms-backup-plus,Maven,True,True,8s
ArcAnimator,Gradle,N/A,N/A,N/A
elephant-bird,Maven,False,False,0s
java-string-similarity,Maven,False,False,0s
KLog,Gradle,False,False,0s
SwipeStack,Gradle,False,False,0s
jvm-tools,Maven,True,True,33s
AndroidChangeSkin,Gradle,False,False,0s
Android-TextView-LinkBuilder,Gradle,False,False,0s
pulsar,Maven,True,True,15m48s
GuideView,Gradle,False,False,0s
liquibase,Maven,False,False,0s
Android-StepsView,Gradle,False,False,0s
WaveLoadingView,Gradle,False,False,0s
Leonids,Gradle,False,False,0s
coolMenu,Gradle,False,False,0s
mustache.java,Maven,True,True,6m55s
StereoView,Gradle,N/A,N/A,N/A
GoogleProgressBar,Gradle,N/A,N/A,N/A
Android-ActionItemBadge,Gradle,False,False,0s
spring-petclinic,Maven,True,True,7s
OpenGrok,Maven,True,False,1m4s
android-maven-plugin,Maven,True,False,31s
ormlite-android,Maven,False,False,0s
Twidere-Android,Gradle,False,False,0s
SlantedTextView,Gradle,N/A,N/A,N/A
